"","SU.CL.BO","SU.CL.YO","SU.CY.BU","SU.CY.YO","SU.SC.HE","SU.SC.SH","SU.SL.AN","SU.SL.BE","SU.SL.SH"
"0319-6G20",1,1,1,0,1,0,1,1,0
"11-24",1,1,0,1,0,1,1,1,1
"4-29-1",0,0,0,0,0,1,0,0,0
"67-14",1,1,1,1,1,1,1,1,1
"A21b",1,0,1,0,1,0,1,1,1
"Acidibacter",1,1,1,1,1,1,1,1,1
"Acidipila",0,0,1,0,1,0,0,0,0
"Acidothermus",0,0,1,0,1,0,0,0,0
"Actinoplanes",0,0,1,0,0,0,0,0,0
"AD3",0,0,0,0,1,0,0,0,0
"Adhaeribacter",0,0,1,0,0,0,0,0,0
"ADurb.Bin063-1",1,1,1,1,1,1,1,1,1
"Aetherobacter",0,0,0,0,0,0,1,1,0
"Agromyces",0,1,1,1,0,0,0,0,0
"AKYH767",0,0,1,0,0,0,1,0,0
"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",1,0,1,0,0,0,0,1,0
"alphaI_cluster",0,0,0,0,0,0,1,0,0
"Amaricoccus",0,1,0,1,0,0,0,0,0
"Ammoniphilus",0,0,1,0,1,0,0,0,1
"Anaerolinea",0,0,0,1,0,1,0,0,0
"Anaeromyxobacter",1,0,0,0,0,1,0,0,0
"Aquicella",0,0,0,0,1,0,0,1,0
"Aquisphaera",0,0,1,0,1,0,0,0,1
"Arenimonas",0,0,1,0,0,0,0,0,0
"Bacillus",1,1,1,1,1,1,1,1,1
"bacteriap25",0,0,0,1,0,1,0,1,1
"Bacteroidetes_vadinHA17",0,0,0,1,0,0,0,0,0
"Bauldia",1,1,0,0,0,0,1,1,0
"Bdellovibrio",0,0,0,0,0,0,0,1,0
"BIrii41",1,1,1,1,1,1,1,1,1
"Blastococcus",1,0,0,0,0,0,0,0,0
"Bradyrhizobium",1,1,1,1,1,1,1,1,1
"Bryobacter",1,1,1,1,1,1,1,1,1
"Burkholderia-Caballeronia-Paraburkholderia",0,0,0,0,1,0,0,1,0
"C0119",1,0,0,0,1,1,1,1,0
"Candidatus_Alysiosphaera",1,1,0,1,0,1,1,1,1
"Candidatus_Koribacter",1,0,1,0,1,0,0,0,0
"Candidatus_Solibacter",1,1,1,1,1,1,1,1,1
"Candidatus_Udaeobacter",1,1,1,1,1,1,1,1,1
"Candidatus_Xiphinematobacter",1,1,1,1,1,1,1,1,1
"Catenulispora",0,0,0,0,1,0,0,0,0
"CCD24",1,1,1,1,0,1,1,0,1
"Chryseolinea",0,0,1,1,0,1,0,0,0
"Chthoniobacter",1,1,1,1,1,1,1,1,1
