"Kingdom","Phylum","Class","Order","Family","Genus","Species"
2,35,106,164,184,228,84
2,39,108,159,181,220,75
2,36,94,145,176,225,87
2,36,110,168,203,281,102
2,31,92,138,168,213,69
2,36,103,153,190,208,56
2,34,105,155,190,242,97
2,33,100,150,171,215,74
2,35,103,157,174,201,67
2,35,104,153,182,227,75
2,37,112,161,186,227,88
2,34,93,132,154,189,61
2,35,101,161,187,212,65
2,31,86,117,153,179,57
2,34,105,159,191,222,72
2,33,106,144,176,216,69
2,30,91,141,165,185,59
2,37,109,160,182,230,85
2,41,119,178,203,254,121
2,33,98,147,169,207,73
2,38,120,177,202,254,96
2,32,86,114,144,172,66
2,35,103,163,191,211,67
2,34,96,152,183,223,80
2,37,108,155,177,210,69
2,39,111,152,169,190,71
1,29,88,129,150,152,40
2,33,96,140,156,150,43
1,30,79,116,130,141,37
2,33,92,148,170,187,52
1,26,67,96,105,91,27
1,24,83,129,152,148,38
2,30,92,126,154,160,37
2,31,98,139,156,179,60
2,32,98,149,162,185,57
2,33,101,158,178,220,72
2,35,110,161,186,230,88
1,32,97,134,157,208,71
2,36,109,170,201,248,82
2,29,76,103,137,159,47
2,28,94,139,155,156,41
2,28,95,143,172,205,69
2,33,99,134,161,189,62
2,33,104,150,169,197,61
2,39,108,165,187,232,78
2,42,120,187,205,288,119
2,35,101,147,173,236,90
2,38,115,174,202,261,100
2,37,106,146,166,210,76
2,33,99,153,172,183,62
2,37,114,168,187,239,86
2,39,110,154,171,219,69
2,36,106,164,189,234,85
2,38,118,167,189,237,78
2,42,121,176,195,237,85
2,40,106,156,177,241,98
2,38,111,169,198,271,82
2,35,95,132,161,194,62
2,38,115,170,199,237,83
2,35,114,163,185,233,84
2,40,119,178,190,268,81
2,37,111,174,201,246,83
