sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
BA-CL-BO-1	72820	62693	86.09	58345	46541	63.91	44753	61.46
BA-CL-BO-2	54971	46185	84.02	42532	32273	58.71	30847	56.12
BA-CL-BO-3	71079	60780	85.51	56015	43006	60.5	40530	57.02
BA-CL-BO-4	39863	33692	84.52	30570	23006	57.71	21878	54.88
BA-CL-BO-5	108050	89970	83.27	85333	71485	66.16	68830	63.7
BA-CL-YO-1	83682	71408	85.33	66746	53811	64.3	51554	61.61
BA-CL-YO-2	39930	33778	84.59	30564	22683	56.81	21545	53.96
BA-CL-YO-3	90523	77084	85.15	70704	53642	59.26	50249	55.51
BA-CL-YO-4	70295	60348	85.85	55185	41985	59.73	39819	56.65
BA-CY-BU-1	102779	88708	86.31	84055	71077	69.16	66948	65.14
BA-CY-BU-2	90573	77135	85.16	72953	61221	67.59	57271	63.23
BA-CY-BU-3	87075	75729	86.97	71506	59575	68.42	56046	64.37
BA-CY-BU-4	70400	59661	84.75	56493	47171	67	45261	64.29
BA-CY-BU-5	74882	63903	85.34	60842	52112	69.59	49736	66.42
BA-CY-YO-1	94922	80427	84.73	75669	63084	66.46	61003	64.27
BA-CY-YO-2	90170	77181	85.59	71475	57506	63.78	54672	60.63
BA-CY-YO-3	97512	82673	84.78	77549	64399	66.04	61691	63.27
BA-CY-YO-4	74600	63444	85.05	58942	46959	62.95	44929	60.23
BA-CY-YO-5	62852	52729	83.89	48861	38892	61.88	37493	59.65
BA-SC-HE-1	40243	34460	85.63	32217	25680	63.81	23825	59.2
BA-SC-HE-2	26359	21567	81.82	19894	14924	56.62	14232	53.99
BA-SC-HE-3	96166	82109	85.38	77267	62363	64.85	58649	60.99
BA-SC-HE-4	70538	60472	85.73	57037	46856	66.43	43229	61.28
BA-SC-HE-5	62225	54222	87.14	50964	41425	66.57	38252	61.47
BA-SC-SH-1	73610	63630	86.44	59956	49987	67.91	47810	64.95
BA-SC-SH-2	89330	75771	84.82	71009	57504	64.37	54917	61.48
BA-SC-SH-3	60796	51788	85.18	48315	38677	63.62	36883	60.67
BA-SC-SH-4	36428	30932	84.91	28187	21018	57.7	19891	54.6
BA-SC-SH-5	60600	51224	84.53	47477	36264	59.84	34242	56.5
BA-SL-AN-1	36692	31226	85.1	28473	21587	58.83	20781	56.64
BA-SL-AN-2	106458	90285	84.81	85725	72606	68.2	70878	66.58
BA-SL-AN-3	85532	72261	84.48	67148	53687	62.77	51202	59.86
BA-SL-AN-4	103626	89545	86.41	83764	68340	65.95	65142	62.86
BA-SL-AN-5	81085	69455	85.66	64725	51936	64.05	49697	61.29
BA-SL-BE-1	85038	72745	85.54	68285	55453	65.21	53264	62.64
BA-SL-BE-2	67201	58124	86.49	53263	39550	58.85	37252	55.43
BA-SL-BE-3	37676	31991	84.91	29183	21497	57.06	20482	54.36
BA-SL-BE-3-RE	50119	42257	84.31	38988	29265	58.39	27855	55.58
BA-SL-BE-4	33053	28211	85.35	25367	17615	53.29	16528	50
BA-SL-BE-5	42906	36385	84.8	33468	25328	59.03	24142	56.27
BA-SL-SH-1	36575	30309	82.87	27672	20520	56.1	19701	53.86
BA-SL-SH-2	45020	38700	85.96	35405	26848	59.64	25588	56.84
BA-SL-SH-3	53349	45639	85.55	41709	31932	59.85	29999	56.23
BA-SL-SH-4	37119	32045	86.33	29270	22610	60.91	21594	58.18
BA-SL-SH-5	35506	30231	85.14	27585	20771	58.5	19824	55.83
BE-CL-BO-1	93367	69823	74.78	65174	46039	49.31	43874	46.99
BE-CL-BO-2	135730	103276	76.09	97158	72591	53.48	69684	51.34
BE-CL-BO-3	196860	150280	76.34	144882	118999	60.45	115755	58.8
BE-CL-BO-4	270166	202415	74.92	193416	152882	56.59	147322	54.53
BE-CL-BO-5	65345	49892	76.35	46141	32407	49.59	30931	47.33
BE-CL-YO-1	133067	100673	75.66	96204	77286	58.08	75220	56.53
BE-CL-YO-2	165227	122676	74.25	117428	94524	57.21	92252	55.83
BE-CL-YO-3	105767	78886	74.58	74747	58346	55.16	56722	53.63
BE-CL-YO-4	93744	70236	74.92	66541	50978	54.38	49544	52.85
BE-CL-YO-5	53512	40133	75	37575	27592	51.56	26615	49.74
BE-CY-BU-1	75158	55862	74.33	53187	42444	56.47	41083	54.66
BE-CY-BU-2	57708	41683	72.23	39706	31455	54.51	30329	52.56
BE-CY-BU-3	90321	64551	71.47	61744	50035	55.4	48315	53.49
BE-CY-BU-4	90841	66653	73.37	63932	51964	57.2	50290	55.36
BE-CY-BU-5	65915	47475	72.02	46421	39142	59.38	37886	57.48
BE-CY-YO-1	100053	72858	72.82	68418	50159	50.13	48356	48.33
BE-CY-YO-2	80569	59915	74.36	56482	43324	53.77	42142	52.31
BE-CY-YO-3	105435	75832	71.92	72012	56291	53.39	54855	52.03
BE-CY-YO-4	61643	44381	72	41801	31586	51.24	30673	49.76
BE-SC-HE-1	147311	105106	71.35	101218	81510	55.33	77230	52.43
BE-SC-HE-2	49756	37724	75.82	35832	26826	53.92	25755	51.76
BE-SC-HE-3	173037	119539	69.08	116300	98620	56.99	94755	54.76
BE-SC-HE-4	119771	91581	76.46	87875	69903	58.36	67133	56.05
BE-SC-HE-5	124185	92245	74.28	89756	75148	60.51	72756	58.59
