sample-id	id	Plate	Type	Soil	Soil.Type	Location	Group	original_reads	input	filtered	denoised	merged	non-chimeric	Repeat	Analysis
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical	numeric	numeric	numeric	numeric	numeric	numeric	categorical	categorical
CO.CL.BO.1	CO.CL.BO.1	1	Bulksoil	CL	CO.CL	BO	CO.CL.BO	39063	39063	31838	29646	24193	22723	FALSE	Include
CO.CL.BO.2	CO.CL.BO.2	1	Bulksoil	CL	CO.CL	BO	CO.CL.BO	50030	50030	41610	38918	32166	30334	FALSE	Include
CO.CL.BO.3	CO.CL.BO.3	1	Bulksoil	CL	CO.CL	BO	CO.CL.BO	35769	35769	29634	26434	19263	17290	FALSE	Include
CO.CL.BO.4	CO.CL.BO.4	1	Bulksoil	CL	CO.CL	BO	CO.CL.BO	141041	141041	115120	105931	82144	72736	FALSE	Include
CO.CL.BO.5	CO.CL.BO.5	1	Bulksoil	CL	CO.CL	BO	CO.CL.BO	186509	186509	156411	145427	116487	103493	FALSE	Include
CO.CL.YO.1	CO.CL.YO.1	1	Bulksoil	CL	CO.CL	YO	CO.CL.YO	94744	94744	80041	73988	60082	53420	FALSE	Include
CO.CL.YO.2	CO.CL.YO.2	1	Bulksoil	CL	CO.CL	YO	CO.CL.YO	99056	99056	81726	73759	54853	48753	FALSE	Include
CO.CL.YO.3	CO.CL.YO.3	1	Bulksoil	CL	CO.CL	YO	CO.CL.YO	85068	85068	71337	64993	50455	45253	FALSE	Include
CO.CL.YO.4	CO.CL.YO.4	1	Bulksoil	CL	CO.CL	YO	CO.CL.YO	81802	81802	69818	63356	48500	43267	FALSE	Include
CO.CL.YO.5	CO.CL.YO.5	1	Bulksoil	CL	CO.CL	YO	CO.CL.YO	174914	174914	145420	135176	109538	98157	TRUE	Include
CO.CL.YO.5.RE	CO.CL.YO.5.RE	4	Bulksoil	CL	CO.CL	YO	CO.CL.YO	45650	45650	38605	34755	26278	23820	TRUE	Exclude
CO.CY.BU.1	CO.CY.BU.1	1	Bulksoil	CY	CO.CY	BU	CO.CY.BU	51392	51392	44449	40572	31766	27012	FALSE	Include
CO.CY.BU.2	CO.CY.BU.2	1	Bulksoil	CY	CO.CY	BU	CO.CY.BU	33892	33892	27854	25727	20155	18225	FALSE	Include
CO.CY.BU.3	CO.CY.BU.3	1	Bulksoil	CY	CO.CY	BU	CO.CY.BU	77574	77574	64864	60617	48974	42388	FALSE	Include
CO.CY.BU.4	CO.CY.BU.4	1	Bulksoil	CY	CO.CY	BU	CO.CY.BU	70765	70765	58981	55263	46302	42066	FALSE	Include
CO.CY.BU.5	CO.CY.BU.5	1	Bulksoil	CY	CO.CY	BU	CO.CY.BU	121411	121411	100820	92733	71005	59510	FALSE	Include
CO.CY.YO.1	CO.CY.YO.1	1	Bulksoil	CY	CO.CY	YO	CO.CY.YO	93313	93313	79978	73586	58911	54050	FALSE	Include
CO.CY.YO.2	CO.CY.YO.2	1	Bulksoil	CY	CO.CY	YO	CO.CY.YO	114273	114273	95705	88424	70868	64789	FALSE	Include
CO.CY.YO.3	CO.CY.YO.3	1	Bulksoil	CY	CO.CY	YO	CO.CY.YO	51135	51135	43377	39427	30455	28030	FALSE	Include
CO.CY.YO.4	CO.CY.YO.4	1	Bulksoil	CY	CO.CY	YO	CO.CY.YO	96211	96211	79386	71754	53081	47637	FALSE	Include
CO.CY.YO.5	CO.CY.YO.5	1	Bulksoil	CY	CO.CY	YO	CO.CY.YO	71300	71300	59796	54605	43095	39349	FALSE	Include
CO.CY.YO.5.RE2	CO.CY.YO.5.RE2	5	Bulksoil	CY	CO.CY	YO	CO.CY.YO	182633	156955	67410	63311	49978	47455	TRUE	Exclude
CO.SC.HE.1	CO.SC.HE.1	1	Bulksoil	SC	CO.SC	HE	CO.SC.HE	76420	76420	63198	58511	46744	37674	FALSE	Include
CO.SC.HE.2	CO.SC.HE.2	1	Bulksoil	SC	CO.SC	HE	CO.SC.HE	68355	68355	57809	53522	42062	33733	FALSE	Include
CO.SC.HE.3	CO.SC.HE.3	1	Bulksoil	SC	CO.SC	HE	CO.SC.HE	93729	93729	80706	75888	63916	53270	FALSE	Include
CO.SC.HE.4	CO.SC.HE.4	1	Bulksoil	SC	CO.SC	HE	CO.SC.HE	63503	63503	52778	48931	38672	31517	FALSE	Include
CO.SC.HE.5	CO.SC.HE.5	1	Bulksoil	SC	CO.SC	HE	CO.SC.HE	58965	58965	50433	47447	39835	33287	FALSE	Include
CO.SC.SH.1	CO.SC.SH.1	1	Bulksoil	SC	CO.SC	SH	CO.SC.SH	62871	62871	52335	47973	37296	33653	FALSE	Include
CO.SC.SH.2	CO.SC.SH.2	1	Bulksoil	SC	CO.SC	SH	CO.SC.SH	42725	42725	35503	32004	24587	22380	FALSE	Include
CO.SC.SH.3	CO.SC.SH.3	1	Bulksoil	SC	CO.SC	SH	CO.SC.SH	94555	94555	78478	69707	48534	39607	FALSE	Include
CO.SC.SH.4	CO.SC.SH.4	1	Bulksoil	SC	CO.SC	SH	CO.SC.SH	119820	119820	97263	87201	60731	48433	FALSE	Include
CO.SC.SH.5	CO.SC.SH.5	1	Bulksoil	SC	CO.SC	SH	CO.SC.SH	62480	62480	53325	47354	34264	29714	FALSE	Include
CO.SL.AN.1	CO.SL.AN.1	1	Bulksoil	SL	CO.SL	AN	CO.SL.AN	67008	67008	56082	50801	37741	33817	FALSE	Include
CO.SL.AN.2	CO.SL.AN.2	1	Bulksoil	SL	CO.SL	AN	CO.SL.AN	63043	63043	54047	48956	36864	32570	FALSE	Include
CO.SL.AN.3	CO.SL.AN.3	1	Bulksoil	SL	CO.SL	AN	CO.SL.AN	72936	72936	61143	55517	43024	38600	FALSE	Include
CO.SL.AN.4	CO.SL.AN.4	1	Bulksoil	SL	CO.SL	AN	CO.SL.AN	53033	53033	45472	41491	32007	28885	FALSE	Include
CO.SL.AN.5	CO.SL.AN.5	1	Bulksoil	SL	CO.SL	AN	CO.SL.AN	59883	59883	49275	44758	34181	30782	FALSE	Include
CO.SL.BE.1	CO.SL.BE.1	1	Bulksoil	SL	CO.SL	BE	CO.SL.BE	63221	63221	51518	46216	33841	30713	FALSE	Include
CO.SL.BE.2	CO.SL.BE.2	1	Bulksoil	SL	CO.SL	BE	CO.SL.BE	76898	76898	63114	58254	45567	41708	FALSE	Include
CO.SL.BE.3	CO.SL.BE.3	1	Bulksoil	SL	CO.SL	BE	CO.SL.BE	59046	59046	48674	44269	33322	30174	FALSE	Include
CO.SL.BE.4	CO.SL.BE.4	1	Bulksoil	SL	CO.SL	BE	CO.SL.BE	57137	57137	47859	43424	32715	29554	FALSE	Include
CO.SL.BE.5	CO.SL.BE.5	1	Bulksoil	SL	CO.SL	BE	CO.SL.BE	18073	18073	15309	13590	9633	8789	FALSE	Include
CO.SL.SH.1	CO.SL.SH.1	1	Bulksoil	SL	CO.SL	SH	CO.SL.SH	86530	86530	72346	65066	47847	39826	FALSE	Include
CO.SL.SH.2	CO.SL.SH.2	1	Bulksoil	SL	CO.SL	SH	CO.SL.SH	116914	116914	98987	89423	66214	55767	FALSE	Include
CO.SL.SH.3	CO.SL.SH.3	1	Bulksoil	SL	CO.SL	SH	CO.SL.SH	50071	50071	41144	36277	25048	21500	FALSE	Include
CO.SL.SH.4	CO.SL.SH.4	1	Bulksoil	SL	CO.SL	SH	CO.SL.SH	80136	80136	66069	60830	46792	41159	FALSE	Include
