sample-id	id	Plate	Type	Soil	Location	Soil.Type	Group
#q2:types	categorical	categorical	categorical	categorical	categorical	categorical	categorical
WH-CL-BO-1-ITS	SW.CL.BO.1	4	Wheat	CL	BO	CL.BO	CL.BO
WH-CL-BO-2-ITS	SW.CL.BO.2	4	Wheat	CL	BO	CL.BO	CL.BO
WH-CL-BO-3-ITS	SW.CL.BO.3	4	Wheat	CL	BO	CL.BO	CL.BO
WH-CL-BO-5-ITS	SW.CL.BO.5	4	Wheat	CL	BO	CL.BO	CL.BO
WH-CL-YO-1-ITS	SW.CL.YO.1	4	Wheat	CL	YO	CL.YO	CL.YO
WH-CL-YO-3-ITS	SW.CL.YO.3	4	Wheat	CL	YO	CL.YO	CL.YO
WH-CL-YO-4-ITS	SW.CL.YO.4	4	Wheat	CL	YO	CL.YO	CL.YO
WH-CL-YO-5-ITS	SW.CL.YO.5	4	Wheat	CL	YO	CL.YO	CL.YO
WH-CY-BU-2-ITS	SW.CY.BU.2	4	Wheat	CY	BU	CY.BU	CY.BU
WH-CY-BU-3-ITS	SW.CY.BU.3	4	Wheat	CY	BU	CY.BU	CY.BU
WH-CY-BU-4-ITS	SW.CY.BU.4	4	Wheat	CY	BU	CY.BU	CY.BU
WH-CY-BU-5-ITS	SW.CY.BU.5	4	Wheat	CY	BU	CY.BU	CY.BU
WH-CY-YO-1-ITS	SW.CY.YO.1	4	Wheat	CY	YO	CY.YO	CY.YO
WH-CY-YO-2-ITS	SW.CY.YO.2	4	Wheat	CY	YO	CY.YO	CY.YO
WH-CY-YO-3-ITS	SW.CY.YO.3	4	Wheat	CY	YO	CY.YO	CY.YO
WH-CY-YO-4-ITS	SW.CY.YO.4	4	Wheat	CY	YO	CY.YO	CY.YO
WH-CY-YO-5-ITS	SW.CY.YO.5	4	Wheat	CY	YO	CY.YO	CY.YO
WH-SC-HE-1-ITS	SW.SC.HE.1	4	Wheat	SC	HE	SC.HE	SC.HE
WH-SC-HE-2-ITS	SW.SC.HE.2	4	Wheat	SC	HE	SC.HE	SC.HE
WH-SC-HE-3-ITS	SW.SC.HE.3	4	Wheat	SC	HE	SC.HE	SC.HE
WH-SC-HE-5-ITS	SW.SC.HE.5	4	Wheat	SC	HE	SC.HE	SC.HE
WH-SC-SH-1-ITS	SW.SC.SH.1	4	Wheat	SC	SH	SC.SH	SC.SH
WH-SC-SH-3-ITS	SW.SC.SH.3	4	Wheat	SC	SH	SC.SH	SC.SH
WH-SC-SH-4-ITS	SW.SC.SH.4	4	Wheat	SC	SH	SC.SH	SC.SH
WH-SC-SH-5-ITS	SW.SC.SH.5	4	Wheat	SC	SH	SC.SH	SC.SH
WH-SL-AN-1-ITS	SW.SL.AN.1	4	Wheat	SL	AN	SL.AN	SL.AN
WH-SL-AN-2-ITS	SW.SL.AN.2	4	Wheat	SL	AN	SL.AN	SL.AN
WH-SL-AN-3-ITS	SW.SL.AN.3	4	Wheat	SL	AN	SL.AN	SL.AN
WH-SL-AN-5-ITS	SW.SL.AN.5	4	Wheat	SL	AN	SL.AN	SL.AN
WH-SL-BE-1-ITS	SW.SL.BE.1	4	Wheat	SL	BE	SL.BE	SL.BE
WH-SL-BE-2-ITS	SW.SL.BE.2	4	Wheat	SL	BE	SL.BE	SL.BE
WH-SL-BE-3-ITS	SW.SL.BE.3	4	Wheat	SL	BE	SL.BE	SL.BE
WH-SL-BE-4-ITS	SW.SL.BE.4	4	Wheat	SL	BE	SL.BE	SL.BE
WH-SL-SH-1-ITS	SW.SL.SH.1	4	Wheat	SL	SH	SL.SH	SL.SH
WH-SL-SH-2-ITS	SW.SL.SH.2	4	Wheat	SL	SH	SL.SH	SL.SH
WH-SL-SH-4-ITS	SW.SL.SH.4	4	Wheat	SL	SH	SL.SH	SL.SH
WH-SL-SH-5-ITS	SW.SL.SH.5	4	Wheat	SL	SH	SL.SH	SL.SH
n-ve-ITS-1	n.ve.ITS.1	4	Control	NA	NA	NA	Control
