sample-id	Sample	File_ID	Raw reads	Type	Soil	Soil.Type	Soil.Location	Location	Group	Run	Raw_reads
Positive	N000	EKDN230024949-1A_HKT7MDSX7_L4	208012874	Positive	NA	NA	NA	NA	Positive	1	208012874
CO-CL-BO-02	N002	EKDN230024951-1A_HHGLMDSX7_L3	150489772	Bulk Soil	CL	CO-CL	CL.BO	BO	CO-CL-BO	1	150489772
CO-CL-BO-03	N003	EKDN230024952-1A_HJGN5DSX7_L2	63315992	Bulk Soil	CL	CO-CL	CL.BO	BO	CO-CL-BO	1	63315992
CO-CL-BO-03	N003	EKDN230024952-1A_HKTTGDSX7_L1	97740830	Bulk Soil	CL	CO-CL	CL.BO	BO	CO-CL-BO	2	97740830
CO-CL-BO-04	N004	EKDN230024953-1A_HKT7MDSX7_L4	194841322	Bulk Soil	CL	CO-CL	CL.BO	BO	CO-CL-BO	1	194841322
CO-CL-BO-05	N005	EKDN230024954-1A_HKT7MDSX7_L4	156755200	Bulk Soil	CL	CO-CL	CL.BO	BO	CO-CL-BO	1	156755200
CO-CY-YO-02	N007	EKDN230024956-1A_HHG3HDSX7_L1	124670710	Bulk Soil	CY	CO-CY	CY.YO	YO	CO-CY-YO	1	124670710
CO-CY-YO-03	N008	EKDN230024957-1A_HKTC2DSX7_L1	149203750	Bulk Soil	CY	CO-CY	CY.YO	YO	CO-CY-YO	1	149203750
CO-CY-YO-04	N009	EKDN230024958-1A_HHG3HDSX7_L1	157925298	Bulk Soil	CY	CO-CY	CY.YO	YO	CO-CY-YO	1	157925298
CO-CY-YO-05	N010	EKDN230024959-1A_HHG3HDSX7_L1	111449540	Bulk Soil	CY	CO-CY	CY.YO	YO	CO-CY-YO	1	111449540
CO-CL-YO-01	N011	EKDN230024960-1A_HHG3HDSX7_L3	197207464	Bulk Soil	CL	CO-CL	CL.YO	YO	CO-CL-YO	1	197207464
CO-CL-YO-03	N013	EKDN230024962-1A_HHG3HDSX7_L1	167349264	Bulk Soil	CL	CO-CL	CL.YO	YO	CO-CL-YO	1	167349264
CO-CL-YO-04	N014	EKDN230024963-1A_HHG3HDSX7_L1	134846654	Bulk Soil	CL	CO-CL	CL.YO	YO	CO-CL-YO	1	134846654
CO-CL-YO-05	N015	EKDN230024964-1A_HKT7MDSX7_L4	148705024	Bulk Soil	CL	CO-CL	CL.YO	YO	CO-CL-YO	1	148705024
CO-CY-BU-01	N016	EKDN230024965-1A_HKT7MDSX7_L4	175904728	Bulk Soil	CY	CO-CY	CY.BU	BU	CO-CY-BU	1	175904728
CO-CY-BU-02	N017	EKDN230024966-1A_HHG3HDSX7_L1	128066754	Bulk Soil	CY	CO-CY	CY.BU	BU	CO-CY-BU	1	128066754
CO-CY-BU-03	N018	EKDN230024967-1A_HHG3HDSX7_L1	103344102	Bulk Soil	CY	CO-CY	CY.BU	BU	CO-CY-BU	1	103344102
CO-CY-BU-04	N019	EKDN230024968-1A_HHG3HDSX7_L1	150260132	Bulk Soil	CY	CO-CY	CY.BU	BU	CO-CY-BU	1	150260132
CO-SL-AN-02	N022	EKDN230024971-1A_HHG3HDSX7_L1	143057024	Bulk Soil	SL	CO-SL	SL.AN	AN	CO-SL-AN	1	143057024
CO-SL-AN-03	N023	EKDN230024972-1A_HHG3HDSX7_L1	146691002	Bulk Soil	SL	CO-SL	SL.AN	AN	CO-SL-AN	1	146691002
CO-SL-AN-04	N024	EKDN230024973-1A_HHG3HDSX7_L1	151392460	Bulk Soil	SL	CO-SL	SL.AN	AN	CO-SL-AN	1	151392460
CO-SL-AN-05	N025	EKDN230024974-1A_HHG3HDSX7_L1	168089910	Bulk Soil	SL	CO-SL	SL.AN	AN	CO-SL-AN	1	168089910
CO-SC-SH-01	N026	EKDN230024975-1A_HHG3HDSX7_L1	147400738	Bulk Soil	SC	CO-SC	SC.SH	SH	CO-SC-SH	1	147400738
CO-SC-SH-03	N028	EKDN230024977-1A_HHG3HDSX7_L3	211006444	Bulk Soil	SC	CO-SC	SC.SH	SH	CO-SC-SH	1	211006444
CO-SC-SH-04	N029	EKDN230024978-1A_HJGHCDSX7_L2	192821510	Bulk Soil	SC	CO-SC	SC.SH	SH	CO-SC-SH	1	192821510
CO-SC-SH-05	N030	EKDN230024979-1A_HJGHCDSX7_L2	182961966	Bulk Soil	SC	CO-SC	SC.SH	SH	CO-SC-SH	1	182961966
