TYPE	ACCESSION	ALIAS
SAMPLE	ERS27620570	ms00315
SAMPLE	ERS27620571	ms00316
SAMPLE	ERS27620572	ms00317
SAMPLE	ERS27620573	ms00318
SAMPLE	ERS27620574	ms00319
SAMPLE	ERS27620575	ms00320
SAMPLE	ERS27620576	ms00321
SAMPLE	ERS27620577	ms00322
SAMPLE	ERS27620578	ms00323
SAMPLE	ERS27620579	ms00324
SAMPLE	ERS27620580	ms00325
SAMPLE	ERS27620581	ms00326
SAMPLE	ERS27620582	ms00327
SAMPLE	ERS27620583	ms00328
SAMPLE	ERS27620584	ms00329
SAMPLE	ERS27620585	ms00330
SAMPLE	ERS27620586	ms00331
SAMPLE	ERS27620587	ms00332
SAMPLE	ERS27620588	ms00333
SAMPLE	ERS27620589	ms00334
SAMPLE	ERS27620590	ms00335
SAMPLE	ERS27620591	ms00336
SAMPLE	ERS27620592	ms00337
SAMPLE	ERS27620593	ms00338
SAMPLE	ERS27620594	ms00339
SAMPLE	ERS27620595	ms00340
SAMPLE	ERS27620596	ms00341
SAMPLE	ERS27620597	ms00342
SAMPLE	ERS27620598	ms00343
SAMPLE	ERS27620599	ms00344
SAMPLE	ERS27620600	ms00345
SAMPLE	ERS27620601	ms00346
SAMPLE	ERS27620602	ms00347
SAMPLE	ERS27620603	ms00348
SAMPLE	ERS27620604	ms00349
SAMPLE	ERS27620605	ms00350
SAMPLE	ERS27620606	ms00351
SAMPLE	ERS27620607	ms00352
SAMPLE	ERS27620608	ms00355
SAMPLE	ERS27620609	ms00356
SAMPLE	ERS27620610	ms00357
SUBMISSION	ERA27692675	ena-SUBMISSION-TAB-07-12-2023-15:42:48:241-1362
